item_id,title,type,tags,text,bag
1,Checkout form,pattern,"form,checkout,a11y",Form for online purchase with validation and accessibility hints.,"Checkout form pattern form,checkout,a11y Form for online purchase with validation and accessibility hints."
2,Dark mode toggle,component,"ui,theme",A switch that changes the app theme between dark and light.,"Dark mode toggle component ui,theme A switch that changes the app theme between dark and light."
3,Error message design,pattern,"feedback,error,a11y","How to write clear, accessible error messages with inline tips.","Error message design pattern feedback,error,a11y How to write clear, accessible error messages with inline tips."
4,Loading spinner,component,"loading,async",Simple loading spinner for async actions; show only if >300ms delay.,"Loading spinner component loading,async Simple loading spinner for async actions; show only if >300ms delay."
5,Search bar,component,"search,ui",Responsive search bar with optional autocomplete and keyboard navigation.,"Search bar component search,ui Responsive search bar with optional autocomplete and keyboard navigation."
6,Form validation UX,pattern,"form,validation,a11y",Real-time validation with minimal errors and proper focus management.,"Form validation UX pattern form,validation,a11y Real-time validation with minimal errors and proper focus management."
7,Toast notifications,component,"feedback,toast",Non-blocking notifications using aria-live and clear action labels.,"Toast notifications component feedback,toast Non-blocking notifications using aria-live and clear action labels."
8,Pagination pattern,pattern,"list,pagination","Consistent page size, total count, and numbered controls with next/prev.","Pagination pattern pattern list,pagination Consistent page size, total count, and numbered controls with next/prev."
9,Empty state,pattern,"blank,first-use",Explain what to do next and provide a primary action when no data is present.,"Empty state pattern blank,first-use Explain what to do next and provide a primary action when no data is present."
10,Accessible modal,component,"dialog,a11y","Focus trap, ESC to close, labelledby/ describedby, restore focus on close.","Accessible modal component dialog,a11y Focus trap, ESC to close, labelledby/ describedby, restore focus on close."
11,Stepper for checkout,component,"wizard,checkout",Multi-step progress for complex flows with clear back and next actions.,"Stepper for checkout component wizard,checkout Multi-step progress for complex flows with clear back and next actions."
12,Inline validation,pattern,"form,validation",Validate fields as users type; keep messages near the field.,"Inline validation pattern form,validation Validate fields as users type; keep messages near the field."
13,Password strength meter,component,"security,form",Visual indicator of password strength with suggestions to improve.,"Password strength meter component security,form Visual indicator of password strength with suggestions to improve."
14,Autocomplete address,component,"form,search",Assist users with address entry; allow manual override and edit.,"Autocomplete address component form,search Assist users with address entry; allow manual override and edit."
15,Confirm destructive actions,pattern,"safety,confirmation",Use modal or inline confirm; require explicit user consent.,"Confirm destructive actions pattern safety,confirmation Use modal or inline confirm; require explicit user consent."
16,Skeleton loading,component,"loading,perceived-speed",Lightweight placeholders to reduce perceived wait time.,"Skeleton loading component loading,perceived-speed Lightweight placeholders to reduce perceived wait time."
17,Breadcrumbs,component,"navigation,hierarchy",Show location within app hierarchy; each crumb navigable.,"Breadcrumbs component navigation,hierarchy Show location within app hierarchy; each crumb navigable."
18,Skip to content link,component,"a11y,keyboard",Visible on focus; lets keyboard users jump to main content.,"Skip to content link component a11y,keyboard Visible on focus; lets keyboard users jump to main content."
19,Keyboard focus ring,pattern,"a11y,focus",Keep visible outlines; avoid removing default focus indicators.,"Keyboard focus ring pattern a11y,focus Keep visible outlines; avoid removing default focus indicators."
